Year,FuPerDay,OpRate,M_Sale,M_Purch,People,Dep,...Elec,HW_Opex,Labor,GnA,TotalOpex,PV_Opex,CashFlow,CumuCashFlow
2025,0,-1.#IND,0,0,1,0,0,0,0,0,0,0,0,0
2026,0,-1.#IND,0,0,1,0,0,0,0,0,0,0,-1.109059e+010,-1.109059e+010
2027,28.10069,22.493247,93331.759,96971.698,1,1.2543037e+009,0,4.7562325e+008,77295393,15459079,2.5111805e+009,2.2995632e+009,-4.2435749e+008,-1.1514948e+010
2028,30.147617,24.024278,105477,109590.6,1,1.0798196e+009,0,4.7752574e+008,79536959,15907392,2.4144444e+009,2.1157695e+009,-3.9693426e+008,-1.1911882e+010
2029,32.457621,25.746282,119784.28,124455.86,1,9.2960772e+008,0,4.7943585e+008,81843531,16368706,2.3535557e+009,1.9736008e+009,-3.6265926e+008,-1.2274541e+010
2030,35.077717,27.692801,136675.78,142006.13,1,8.0029153e+008,0,4.8135359e+008,84216994,16843399,2.3270463e+009,1.8673407e+009,-3.1990765e+008,-1.2594449e+010
2031,38.064144,29.903738,156657.8,162767.45,1,6.889643e+008,0,4.8327901e+008,86659286,17331857,2.3342229e+009,1.7924398e+009,-2.6666997e+008,-1.2861119e+010
2032,41.484204,32.426579,180337.55,187370.72,1,5.9312362e+008,0,4.8521212e+008,89172406,17834481,2.3751467e+009,1.7453254e+009,-2.0046273e+008,-1.3061582e+010
2033,45.41847,35.317829,208443.36,216572.65,1,5.1061518e+008,0,4.8715297e+008,91758406,18351681,2.4506287e+009,1.7232456e+009,-1.1821852e+008,-1.31798e+010
2034,49.963443,38.644723,241848.87,251280.97,1.0409051,4.3958435e+008,0,4.8910158e+008,98281630,19656326,2.5668738e+009,1.7272607e+009,-20785786,-1.3200586e+010
2035,55.234729,42.48727,281602.08,292584.57,1.1507235,3.784345e+008,0,4.9105799e+008,1.1180149e+008,22360298,2.7299032e+009,1.7578602e+009,92837376,-1.3107749e+010
2036,61.370864,46.940661,328960.27,341789.72,1.2785597,3.257911e+008,0,4.9302222e+008,1.2782417e+008,25564834,2.9374932e+009,1.8100796e+009,2.3380422e+008,-1.2873944e+010
2037,68.537893,52.118153,385431.79,400463.63,1.4278728,2.8047084e+008,0,4.9499431e+008,1.4689157e+008,29378314,3.1943314e+009,1.8835818e+009,4.0856151e+008,-1.2465383e+010
2038,76.934873,58.154475,452826.3,470486.53,1.6028099,2.4145501e+008,0,4.9697429e+008,1.6966987e+008,33933975,3.5061847e+009,1.9784406e+009,6.2504823e+008,-1.1840335e+010
2039,86.800476,65.209884,533315.06,554114.35,1.8083432,2.078666e+008,0,4.9896218e+008,1.9697857e+008,39395714,3.8800091e+009,2.0950996e+009,8.9303441e+008,-1.09473e+010
2040,98.420906,73.474983,629503.18,654053.81,2.0504355,1.7895063e+008,0,5.0095803e+008,2.2982624e+008,45965247,4.3240773e+009,2.2343391e+009,1.2245355e+009,-9.7227647e+009
2041,112.13941,83.176433,744516.46,773552.61,2.3362378,1.540571e+008,0,5.0296186e+008,2.6945478e+008,53890956,4.8481277e+009,2.3972504e+009,1.6343193e+009,-8.0884454e+009
2042,128.36769,94.583743,882105.48,916507.6,2.674327,1.3262647e+008,0,5.0497371e+008,3.1739401e+008,63478803,5.4635349e+009,2.5852157e+009,2.1405251e+009,-5.9479203e+009
2043,136.64437,100,946804.18,983729.55,2.8467577,1.1417703e+008,0,5.0699361e+008,3.476563e+008,69531261,5.6618871e+009,2.5637046e+009,2.4433173e+009,-3.504603e+009
2044,137.59905,100,944352.06,981181.79,2.8666469,98294049,0,5.0902158e+008,3.6023772e+008,72047545,5.5039781e+009,2.3848835e+009,2.5363168e+009,-9.6828618e+008
2045,138.58308,100,941824.58,978555.73,2.8871475,84620527,0,5.1105767e+008,3.7333553e+008,74667106,5.3493261e+009,2.2180599e+009,2.6277844e+009,1.6594982e+009
2046,139.59689,100,939220.59,975850.19,2.9082685,72849106,0,5.131019e+008,3.8697261e+008,77394521,5.1976815e+009,2.0623746e+009,2.7176596e+009,4.3771578e+009
2047,140.64089,100,936539.05,973064.07,2.9300185,4.7683716e-007,0,5.1515431e+008,4.0117279e+008,80234558,4.9861244e+009,1.8932358e+009,2.8058805e+009,7.1830384e+009
2048,141.71547,100,933778.97,970196.35,2.9524056,0,0,5.1721492e+008,4.1596089e+008,83192178,4.8486436e+009,1.7617553e+009,2.8923841e+009,1.0075422e+010
2049,142.82097,100,930939.47,967246.11,2.9754369,0,0,5.1928378e+008,4.3136271e+008,86272542,4.7124542e+009,1.6385367e+009,2.9771058e+009,1.3052528e+010
2050,143.95771,100,928019.74,964212.51,2.9991189,0,0,5.2136092e+008,4.4740508e+008,89481017,4.5776227e+009,1.5231151e+009,3.0599798e+009,1.6112508e+010
2051,145.12595,100,925019.1,961094.84,3.0234572,0,0,5.2344636e+008,4.6411588e+008,92823177,4.4442174e+009,1.4150499e+009,3.1409392e+009,1.9253447e+010
2052,146.32591,100,921936.96,957892.5,3.0484565,0,0,5.2554015e+008,4.8152405e+008,96304810,4.3123089e+009,1.3139233e+009,3.2199161e+009,2.2473363e+010
2053,147.55779,100,918772.87,954605.01,3.0741206,0,0,5.2764231e+008,4.9965962e+008,99931924,4.1819699e+009,1.2193399e+009,3.2968413e+009,2.5770205e+010
2054,148.8217,100,915526.49,951232.02,3.1004521,0,0,5.2975288e+008,5.1855371e+008,1.0371074e+008,4.053275e+009,1.1309246e+009,3.3716448e+009,2.9141849e+010
