Time,P_LqTk,T_LqTk,m_Sum_LqTk,T_GTkO,T_ITkO,T_LTkO,P_GTkO,P_OpStO_LqTk,P_ReseatO_LqTk,m_BOGO,m_PSVO_LqTk,Q_InGO,Q_InLO,Q_InGIO,Q_InILO,m_LqPpReal,m_LqVapReal,P_Source,T_SourceC,m_Source,P_Buf1,M_BufSum1,P_Buf2,M_BufSum2,P_TT1,T_TT1,m_TTSum1,P_TT2,T_TT2,m_TTSum2,m_LCpReal,m_MCp1Real,m_MCp2Real,m_HCpReal,P_TkL,T_TkL,m_SumL,W_ReqL,AaL,SD_1P_MaxL,P_TkAccL,P_TkOpFullL,P_TkOpStartL,P_TkL_1,W_Req_kgsL,W_OpFullL,W_OutL,W_OutL_1,SD_1PL,P_TkM,T_TkM,m_SumM,W_ReqM,AaM,SD_1P_MaxM,P_TkAccM,P_TkOpFullM,P_TkOpStartM,P_TkM_1,W_Req_kgsM,W_OpFullM,W_OutM,W_OutM_1,SD_1PM,P_TkH,T_TkH,m_SumH,W_ReqH,AaH,SD_1P_MaxH,P_TkAccH,P_TkOpFullH,P_TkOpStartH,P_TkH_1,W_Req_kgsH,W_OpFullH,W_OutH,W_OutH_1,SD_1PH,m1301,m1401,m1501,m1302,m1402,m1502,mD1,mD2,P_Tk1,T_TkC1,M_Sum1,SOC_Tk1,P_Tk2,T_TkC2,M_Sum2,SOC_Tk2,SOC_Tk1_1,m_HFP1,APRR1,P_Ba1,T_Ba1,P_Tk1_1,T_Tk1,T_Amb,T_Ba1_1,P_Tk_01,T_TkMax1,t_ElepS1,V_TkTot1,T_Amb_1,T_Ba1_2,P_Tk_01_1,SOC_Tk1_2,PRR_av1,CalcIntv_av1,m_HFPMax1,P_Tk1_2,T_TkMax1_1,t_ElepS1_1,t_ElepM1,SOC_Tk1_3,m_HFP1_1,APRR1_1,P_Ba1_1,P_Tk1_3,T_Tk1_1,D1Step,DeFuel1_LBk,DeFuel1_MBk,DeFuel1_HBk,P_Tk1_4,SOC_Tk2_1,m_HFP2,APRR2,P_Ba2,P_Tk2_1,T_Tk2,D2Step,DeFuel2_LBk,DeFuel2_MBk,DeFuel2_HBk,P_Tk2_2,P_HBk,P_MBk,P_LBk,P_TT1_1,P_TT2_1,P_Buf1_1,m_HCpCapa,m_HCpReal_1,m_MCp1Capa,m_MCp2Capa,m_MCp1Real_1,m_LCpCapa,m_LCpReal_1
15.964,41.168,63.148,81.166,96.747,60.204,86.174,93.684,82.047,21.238,69.880,90.028,87.250,31.703,93.346,30.054,87.347,46.768,28.742,83.566,79.879,35.500,13.078,56.697,28.787,51.378,89.883,58.610,64.945,68.641,47.993,16.379,69.805,84.954,13.194,2.906,88.098,23.469,25.288,67.275,41.123,99.535,31.706,17.519,20.297,86.697,31.883,62.221,19.744,59.621,2.926,80.961,52.372,39.779,20.511,16.701,51.016,70.400,22.369,80.440,93.919,92.301,75.107,53.651,24.439,33.121,97.458,81.349,47.742,37.272,3.903,83.506,9.054,81.122,2.308,84.418,60.686,77.457,45.894,22.147,32.331,14.347,64.586,86.407,49.113,76.083,12.105,7.704,59.742,76.261,0.216,54.979,18.637,82.785,40.866,18.018,13.057,46.273,97.798,33.509,49.446,15.049,87.319,9.283,86.254,76.705,26.015,95.591,91.699,57.124,64.983,75.296,90.837,95.907,64.832,49.059,39.677,6.631,16.713,96.809,44.001,6.250,59.584,72.030,39.635,43.569,58.742,39.388,28.540,23.650,15.113,82.490,8.891,72.546,14.810,40.525,42.653,99.297,78.365,29.761,84.486,3.367,39.464,17.673,80.355,11.098,52.020,46.849,26.438,63.617,43.910,96.133,35.445,29.127,76.311
99.895,4.858,3.141,18.381,93.543,48.683,53.966,77.837,0.918,80.289,30.461,29.176,49.102,24.476,49.784,10.532,15.128,58.549,19.716,70.947,0.071,91.332,68.368,14.663,93.405,5.250,29.628,62.343,46.533,15.638,56.429,86.339,85.070,26.497,64.012,17.432,60.692,71.446,41.633,48.569,28.909,35.511,7.892,35.108,83.699,33.404,64.788,59.663,2.217,53.456,50.837,63.164,93.026,57.069,0.322,15.210,6.682,31.435,26.632,85.983,61.475,64.206,40.861,81.521,19.570,1.413,66.795,66.873,29.306,32.650,85.164,76.905,31.880,84.946,13.921,6.557,10.217,85.236,78.802,12.611,31.505,64.767,83.124,40.192,62.004,7.071,96.772,24.611,68.859,7.710,26.768,68.167,61.483,20.028,31.775,89.113,69.587,32.353,83.545,18.780,95.083,52.917,89.557,61.477,65.996,50.827,50.131,13.958,79.213,52.293,92.891,81.365,97.499,41.538,96.325,0.195,51.796,5.510,10.419,92.894,29.593,99.023,35.646,88.544,24.005,21.280,28.557,98.885,94.553,32.892,61.690,47.227,52.230,61.812,72.819,11.342,89.102,36.132,20.226,71.456,48.069,69.924,58.724,11.641,55.246,33.273,75.049,28.598,98.183,60.230,51.034,68.923,30.701,59.572,31.820
2.583,6.687,62.901,64.340,91.855,23.928,79.988,8.111,75.378,19.002,13.091,66.620,65.020,53.881,77.258,63.075,95.031,23.974,31.862,94.390,19.618,12.535,67.091,8.685,38.238,34.088,52.073,18.589,65.185,95.438,51.897,1.783,39.439,58.708,7.603,92.386,19.682,31.494,15.759,33.172,8.217,63.230,71.832,90.981,36.828,87.557,81.606,8.175,80.528,19.315,49.750,48.258,19.733,12.215,72.438,54.525,22.765,78.596,94.540,35.080,52.266,65.511,47.724,48.232,19.076,99.833,40.552,27.308,42.841,37.611,28.527,25.636,20.038,72.110,32.272,86.550,27.068,44.354,80.168,3.419,35.617,87.056,73.397,91.380,16.485,89.026,90.806,95.841,13.855,15.769,23.587,83.514,69.107,71.133,3.357,32.042,48.320,79.063,77.117,8.923,99.262,82.005,62.296,39.178,20.162,73.581,50.141,71.144,26.774,49.370,38.096,29.371,28.218,64.759,54.884,60.874,43.395,5.192,61.171,61.285,49.669,44.004,48.224,90.517,2.211,6.342,53.209,69.151,61.194,12.414,27.266,49.884,51.377,1.082,36.896,5.265,41.634,75.940,17.336,63.450,68.862,75.242,74.026,41.060,63.811,35.799,1.761,33.670,95.054,42.527,0.872,96.877,50.742,70.679,67.401
0.342,21.353,48.666,59.129,15.673,20.093,54.289,27.542,14.492,29.125,54.832,64.533,1.498,92.576,3.942,60.088,47.999,5.476,86.574,95.297,56.698,5.744,62.322,18.380,99.944,32.634,12.494,17.439,30.105,40.816,2.322,23.779,56.534,9.538,49.682,3.629,79.732,40.817,73.091,46.342,84.676,93.202,4.693,83.594,34.890,21.255,79.564,90.654,78.003,52.256,84.184,71.590,69.989,98.500,78.178,98.765,37.707,98.566,34.849,1.618,66.269,26.249,2.510,65.563,30.180,86.560,23.459,39.788,44.938,4.360,7.694,39.591,97.731,10.245,24.051,0.789,19.361,19.186,74.439,1.540,32.528,20.218,76.552,30.148,58.913,80.125,0.488,55.503,57.342,97.418,20.325,48.382,78.890,32.537,38.242,33.019,67.973,2.487,20.344,57.150,84.735,58.400,63.844,4.985,14.038,68.089,51.319,75.785,33.796,48.530,46.201,11.204,97.151,9.719,19.191,84.237,88.830,51.651,7.607,8.433,11.091,28.342,69.835,7.168,85.696,43.154,10.744,84.394,22.025,51.606,55.211,62.707,65.888,84.273,62.732,14.149,43.115,26.629,93.448,91.656,80.959,53.134,27.663,76.929,2.561,86.875,79.874,65.838,35.198,86.642,45.403,7.923,76.476,59.155,78.202
71.311,56.042,61.686,87.475,55.647,85.191,12.089,6.655,23.041,44.491,34.986,94.341,44.081,32.272,58.273,32.286,39.976,31.688,38.298,11.843,74.435,14.820,98.806,94.854,37.345,2.725,95.897,48.415,51.670,77.033,56.365,24.503,9.078,5.617,50.458,4.502,65.174,26.674,82.433,98.101,75.401,97.021,89.713,71.217,54.838,53.820,16.890,63.801,63.736,32.764,55.461,19.510,28.494,86.759,99.016,84.870,24.862,97.023,13.647,84.623,81.885,46.063,41.374,19.312,53.760,67.978,94.846,37.496,78.027,94.622,78.772,1.274,52.747,63.743,56.041,14.984,68.007,81.342,95.824,52.594,73.051,93.899,15.694,4.564,47.398,41.263,19.777,52.127,29.689,72.043,28.616,95.790,48.368,10.824,89.732,80.173,99.555,96.466,29.362,72.699,17.492,52.726,7.887,47.715,88.002,34.172,95.142,70.254,10.143,18.753,30.630,41.710,32.644,23.111,80.343,7.000,3.816,53.183,54.278,65.120,86.723,63.524,85.711,0.517,40.860,84.118,23.127,72.610,84.353,36.127,7.355,20.077,51.375,91.110,98.622,17.100,18.343,67.647,51.623,42.857,10.413,10.170,46.884,12.775,41.393,40.409,58.004,21.149,13.165,1.693,39.843,82.763,2.183,26.791,3.605
51.553,76.123,6.178,73.231,6.594,48.427,69.994,93.713,1.899,87.186,80.760,41.644,32.438,15.970,43.558,74.313,17.485,39.654,19.927,19.629,43.072,72.976,86.272,77.114,69.527,39.689,68.135,18.783,14.299,85.494,86.010,43.610,86.869,66.054,75.228,26.793,38.618,20.422,21.952,92.721,65.059,56.798,1.105,2.437,7.999,25.912,86.769,61.462,17.469,44.340,64.532,75.913,45.738,45.709,17.685,75.334,27.906,90.234,43.582,37.260,92.084,70.380,44.851,88.527,37.442,94.475,30.965,20.091,62.810,58.152,63.180,54.687,71.202,27.010,23.698,7.469,63.884,56.674,59.714,95.365,76.826,24.265,97.724,18.485,23.715,35.645,78.069,19.405,41.031,31.562,61.002,31.578,48.996,37.267,20.743,8.472,66.269,59.592,22.256,26.509,13.012,98.118,51.308,12.406,12.225,54.245,94.929,31.001,7.798,58.512,80.085,32.467,96.443,44.622,25.014,69.043,0.691,76.032,11.080,24.229,44.443,23.569,39.011,15.694,32.607,18.161,70.930,82.422,32.186,58.335,51.947,71.536,21.182,73.717,1.035,45.940,66.698,18.853,55.787,51.502,99.535,38.447,66.451,28.726,95.047,18.249,0.111,71.470,93.239,27.524,64.899,91.456,20.346,43.450,92.379
80.185,17.672,70.498,51.431,24.340,24.348,35.691,45.027,85.683,90.431,9.346,95.389,90.082,60.168,46.295,47.152,64.033,81.737,50.401,65.546,32.818,49.504,18.995,53.511,96.255,93.319,0.049,51.125,8.280,62.085,79.590,49.460,41.818,96.628,84.771,18.177,96.989,14.242,69.054,28.794,45.399,64.146,41.652,41.594,15.715,15.909,3.777,98.693,54.991,62.483,21.849,2.211,56.043,22.086,98.142,15.983,98.969,96.790,88.078,88.593,51.985,89.929,83.535,30.726,31.726,74.305,53.447,72.105,69.051,62.756,34.308,66.075,80.600,45.794,58.019,63.906,18.481,77.838,44.146,42.110,43.402,57.771,32.148,24.304,89.025,2.200,3.989,99.756,65.288,22.921,92.981,66.995,56.319,98.891,99.446,28.336,30.506,33.446,92.053,25.103,73.160,84.893,71.512,71.903,94.968,87.345,59.804,38.773,85.882,33.112,19.464,32.048,97.708,83.526,62.730,15.617,41.784,70.582,4.899,30.588,28.356,17.905,73.879,80.999,55.838,86.937,65.450,47.037,57.907,38.653,54.068,71.898,16.592,19.799,11.943,79.625,32.536,89.051,60.466,32.024,45.564,89.961,41.827,57.559,22.438,94.625,69.447,96.209,54.518,19.226,45.036,47.377,94.802,57.926,92.667
32.733,1.412,11.318,86.876,33.180,40.437,22.202,25.639,75.251,35.710,71.081,0.946,62.622,51.543,73.029,70.031,41.582,84.614,53.826,95.183,48.938,16.702,59.387,36.568,90.534,3.679,22.465,43.505,45.062,18.965,75.399,65.672,99.580,83.110,86.196,88.988,50.815,46.726,76.043,88.502,3.657,99.108,21.414,29.320,35.598,4.334,65.941,33.922,94.033,89.883,67.775,69.741,58.242,36.842,93.521,71.417,59.239,53.132,25.038,24.819,48.952,34.273,14.180,23.538,75.873,98.862,51.529,16.681,37.213,85.523,58.240,83.977,92.693,71.703,49.835,32.948,50.383,59.524,71.830,2.623,76.742,79.898,21.392,23.686,53.401,72.080,44.690,62.814,3.857,45.162,16.356,38.301,59.304,40.523,90.637,26.029,67.028,6.797,25.294,7.223,47.315,88.046,78.031,64.559,2.230,9.291,60.755,62.573,28.443,64.629,92.764,47.539,79.919,95.810,50.471,77.519,32.102,45.015,8.872,88.053,17.492,68.816,0.654,22.692,36.176,42.373,86.649,56.298,22.317,42.274,63.030,47.901,63.015,53.190,29.032,99.699,99.909,20.994,83.592,33.525,21.110,50.876,39.565,99.230,94.727,81.328,57.877,98.051,95.928,4.878,17.005,81.063,1.372,2.088,88.191
85.288,25.442,66.102,41.757,34.544,47.309,83.883,89.979,66.228,58.742,72.973,17.108,95.998,88.680,15.907,24.390,32.870,17.730,19.736,37.608,15.495,50.462,98.516,26.055,86.435,40.686,22.910,5.876,57.089,34.996,52.447,54.740,99.915,43.097,5.742,68.183,87.473,60.090,93.094,34.794,3.151,75.396,60.595,44.552,51.286,16.828,66.286,87.834,4.708,63.752,38.066,17.980,19.645,31.993,65.798,41.360,58.381,11.153,88.730,35.994,46.548,89.874,13.314,85.535,30.864,5.482,82.869,3.297,70.427,57.132,2.890,46.949,3.329,67.735,75.508,9.312,31.046,87.515,37.939,81.668,30.513,46.009,59.736,57.116,98.869,74.937,57.776,95.102,93.524,35.226,51.656,6.997,36.807,77.680,9.297,97.277,84.277,20.129,91.407,7.318,44.778,50.201,53.226,25.378,23.990,55.358,87.099,55.295,28.276,47.596,68.529,13.329,31.165,76.961,89.655,70.437,46.196,84.644,31.063,14.381,40.231,21.859,98.533,30.072,73.911,15.112,33.622,17.717,0.303,28.042,35.922,54.899,31.843,21.461,7.508,21.862,87.093,21.423,2.538,19.964,89.367,51.917,5.005,58.144,1.546,5.870,60.611,93.452,48.421,32.511,1.245,86.313,66.853,60.141,89.853
1.638,12.056,88.945,83.029,13.395,14.847,1.377,16.480,19.128,76.534,82.287,87.231,57.489,36.032,39.790,84.460,62.054,91.540,27.518,58.767,9.227,64.661,14.014,80.641,84.819,67.329,78.180,22.379,5.638,85.374,30.677,80.029,62.624,28.709,29.378,71.668,64.337,24.513,55.760,22.868,64.440,81.277,31.616,54.512,72.373,26.794,90.012,45.798,91.217,89.479,17.586,31.731,76.117,3.795,20.010,5.505,52.506,57.794,83.288,92.480,13.198,77.033,67.303,29.564,67.368,77.903,93.120,82.074,72.782,94.604,44.407,73.996,59.600,27.678,76.676,95.224,35.415,40.838,94.661,47.409,46.877,70.866,93.442,75.809,98.740,85.268,41.958,73.841,97.408,88.028,0.123,78.781,19.147,9.418,56.956,71.263,67.872,73.269,21.140,11.910,18.251,14.841,75.657,98.424,14.719,21.151,95.190,24.911,41.572,90.886,67.265,3.899,32.332,4.294,12.090,84.324,9.530,59.473,76.650,53.573,71.886,12.161,93.336,32.592,57.941,19.857,26.489,26.154,1.132,93.910,81.644,56.527,68.691,17.781,36.210,84.120,41.209,28.179,3.581,53.238,9.934,14.945,61.132,49.731,74.244,42.768,65.243,33.164,46.335,79.481,61.952,63.496,57.150,87.681,28.889
