Variable,Value
C_LCpCA,0.000000
C_MCp2CA,0.000000
C_MCp1CA,3704605715.135811
C_HCpCA,0.000000
C_CpCA,3704605715.135811
C_BufCA,0.000000
C_LBkCA,0.000000
C_MBkCA,1607594217.213827
C_HBkCA,1651898091.408214
C_BkCA,3259492308.622040
C_Disp1CA,235137500.000000
C_Disp2CA,0.000000
C_DispCA,235137500.000000
C_LH2TkCA,0.000000
C_LH2PpCA,0.000000
C_LH2VapCA,0.000000
C_LH2CA,0.000000
C_ElecCA,29788865.702787
C_ElecOP,-1.#IND00
WonOPEX,2324919388.717838
WonCAPEX,11109063469.811420
NPV,-0.000030
BCR,0.779904
IRR,0.020436
yr_Payback,22.301911
